QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
5,2.279,91.181,13,3.851,91.148,5,2.330,91.262,4,2.314,91.235,4,2.237,91.211
4,2.264,91.231,9,4.059,91.110,2,2.313,91.063,4,2.206,91.198,5,4.469,91.199
5,2.346,91.133,12,3.840,91.208,14,2.231,91.129,4,2.243,91.126,5,2.286,91.080
5,3.668,91.213,8,2.275,91.172,8,2.397,91.120,4,3.847,91.171,4,4.056,91.178
3,3.816,91.191,10,2.864,91.183,1,3.132,91.174,4,2.495,91.068,4,2.637,91.204
5,2.403,91.183,8,2.281,91.168,8,4.050,91.189,4,2.667,91.105,5,2.274,91.131
5,2.279,91.164,8,2.362,91.214,8,2.400,91.139,4,2.917,91.200,3,2.370,91.158
5,2.427,91.238,10,2.249,91.110,1,3.958,91.128,4,4.248,91.174,4,2.621,91.252
5,2.283,91.205,2,2.450,91.206,11,2.240,91.085,4,2.316,91.202,3,2.271,91.198
2,2.319,91.225,9,2.395,91.205,2,2.464,91.164,2,2.270,91.207,2,2.291,91.145
3,3.917,91.097,13,2.263,91.127,5,2.224,91.176,4,2.326,91.225,5,3.998,91.114
5,2.351,91.128,10,2.402,91.173,1,3.560,91.166,4,2.410,91.176,4,2.413,91.175
2,2.515,91.188,13,2.480,91.223,5,2.594,91.152,2,3.403,91.252,5,6.646,91.153
5,4.723,91.206,8,2.313,91.128,8,2.667,91.120,4,2.336,91.158,4,2.285,91.065
5,2.274,91.205,8,2.298,91.179,8,4.195,91.132,1,2.247,91.144,4,2.262,91.187
5,2.467,91.149,10,2.362,91.134,1,2.249,91.261,4,2.278,91.130,4,2.377,91.154
4,2.229,91.133,10,3.978,91.186,1,4.028,91.182,1,2.326,91.107,4,2.704,91.188
5,2.508,91.263,8,2.557,91.188,8,10.011,91.127,4,2.393,91.196,3,3.401,91.188
2,2.528,91.190,10,4.041,91.263,1,3.902,91.169,1,3.905,91.126,3,4.014,91.225
4,2.835,91.250,2,3.312,91.147,11,3.995,91.258,3,2.667,91.216,4,2.393,91.211
2,2.497,91.197,9,4.101,91.141,2,2.450,91.159,2,2.515,91.235,3,2.332,91.233
5,2.364,91.225,8,2.431,91.263,8,2.283,91.181,4,2.341,91.183,4,2.799,91.262
5,2.241,91.252,8,2.286,91.124,8,3.949,91.135,4,2.233,91.146,2,2.259,91.200
2,2.258,91.131,9,2.197,91.218,2,2.297,91.161,2,2.307,91.063,4,2.492,91.186
2,2.303,91.141,10,3.341,91.104,1,3.042,91.129,1,2.721,91.200,5,2.618,91.180
5,3.413,91.247,10,2.723,91.177,1,3.632,91.172,4,2.362,91.074,4,2.328,91.183
5,2.227,91.173,8,2.363,91.246,8,2.955,91.196,4,2.585,91.193,5,2.577,91.185
5,2.339,91.181,8,2.273,91.135,8,2.275,91.159,4,2.811,91.194,5,2.452,91.157
2,3.858,91.278,9,2.215,91.150,2,2.249,91.191,4,3.615,91.156,4,10.802,91.086
5,3.793,91.267,8,2.339,91.186,8,2.643,91.211,4,2.213,91.068,4,2.301,91.095
5,4.157,91.093,9,3.734,91.271,2,2.422,91.179,4,2.318,91.136,4,2.247,91.134
5,3.782,91.270,8,2.206,91.216,8,2.218,91.143,4,3.318,91.124,4,4.017,91.133
